contrast,layer,position_order,position,document_index,activation_difference_norm
V0_minus_V4,0,0,embedded_im_start,0,0.0
V0_minus_V4,0,0,embedded_im_start,1,0.0
V0_minus_V4,0,0,embedded_im_start,2,0.0
V0_minus_V4,0,0,embedded_im_start,3,0.0
V0_minus_V4,0,0,embedded_im_start,4,0.0
V0_minus_V4,0,0,embedded_im_start,5,0.0
V0_minus_V4,0,1,role_token,0,2.1708884239196777
V0_minus_V4,0,1,role_token,1,2.1708884239196777
V0_minus_V4,0,1,role_token,2,2.1708884239196777
V0_minus_V4,0,1,role_token,3,2.1708884239196777
V0_minus_V4,0,1,role_token,4,2.1708884239196777
V0_minus_V4,0,1,role_token,5,2.1708884239196777
V0_minus_V4,0,2,post_role_newline,0,0.0
V0_minus_V4,0,2,post_role_newline,1,0.0
V0_minus_V4,0,2,post_role_newline,2,0.0
V0_minus_V4,0,2,post_role_newline,3,0.0
V0_minus_V4,0,2,post_role_newline,4,0.0
V0_minus_V4,0,2,post_role_newline,5,0.0
V0_minus_V4,0,3,command_0_12497,0,0.0
V0_minus_V4,0,3,command_0_12497,1,0.0
V0_minus_V4,0,3,command_0_12497,2,0.0
V0_minus_V4,0,3,command_0_12497,3,0.0
V0_minus_V4,0,3,command_0_12497,4,0.0
V0_minus_V4,0,3,command_0_12497,5,0.0
V0_minus_V4,0,4,command_1_279,0,0.0
V0_minus_V4,0,4,command_1_279,1,0.0
V0_minus_V4,0,4,command_1_279,2,0.0
V0_minus_V4,0,4,command_1_279,3,0.0
V0_minus_V4,0,4,command_1_279,4,0.0
V0_minus_V4,0,4,command_1_279,5,0.0
V0_minus_V4,0,5,command_2_28285,0,0.0
V0_minus_V4,0,5,command_2_28285,1,0.0
V0_minus_V4,0,5,command_2_28285,2,0.0
V0_minus_V4,0,5,command_2_28285,3,0.0
V0_minus_V4,0,5,command_2_28285,4,0.0
V0_minus_V4,0,5,command_2_28285,5,0.0
V0_minus_V4,0,6,command_3_2022,0,0.0
V0_minus_V4,0,6,command_3_2022,1,0.0
V0_minus_V4,0,6,command_3_2022,2,0.0
V0_minus_V4,0,6,command_3_2022,3,0.0
V0_minus_V4,0,6,command_3_2022,4,0.0
V0_minus_V4,0,6,command_3_2022,5,0.0
V0_minus_V4,0,7,command_4_3383,0,0.0
V0_minus_V4,0,7,command_4_3383,1,0.0
V0_minus_V4,0,7,command_4_3383,2,0.0
V0_minus_V4,0,7,command_4_3383,3,0.0
V0_minus_V4,0,7,command_4_3383,4,0.0
V0_minus_V4,0,7,command_4_3383,5,0.0
V0_minus_V4,0,8,command_5_323,0,0.0
V0_minus_V4,0,8,command_5_323,1,0.0
V0_minus_V4,0,8,command_5_323,2,0.0
V0_minus_V4,0,8,command_5_323,3,0.0
V0_minus_V4,0,8,command_5_323,4,0.0
V0_minus_V4,0,8,command_5_323,5,0.0
V0_minus_V4,0,9,command_6_2550,0,0.0
V0_minus_V4,0,9,command_6_2550,1,0.0
V0_minus_V4,0,9,command_6_2550,2,0.0
V0_minus_V4,0,9,command_6_2550,3,0.0
V0_minus_V4,0,9,command_6_2550,4,0.0
V0_minus_V4,0,9,command_6_2550,5,0.0
V0_minus_V4,0,10,command_7_6896,0,0.0
V0_minus_V4,0,10,command_7_6896,1,0.0
V0_minus_V4,0,10,command_7_6896,2,0.0
V0_minus_V4,0,10,command_7_6896,3,0.0
V0_minus_V4,0,10,command_7_6896,4,0.0
V0_minus_V4,0,10,command_7_6896,5,0.0
V0_minus_V4,0,11,embedded_im_end_marker_confounded,0,0.0
V0_minus_V4,0,11,embedded_im_end_marker_confounded,1,0.0
V0_minus_V4,0,11,embedded_im_end_marker_confounded,2,0.0
V0_minus_V4,0,11,embedded_im_end_marker_confounded,3,0.0
V0_minus_V4,0,11,embedded_im_end_marker_confounded,4,0.0
V0_minus_V4,0,11,embedded_im_end_marker_confounded,5,0.0
V0_minus_V4,1,0,embedded_im_start,0,0.0
V0_minus_V4,1,0,embedded_im_start,1,0.0
V0_minus_V4,1,0,embedded_im_start,2,0.0
V0_minus_V4,1,0,embedded_im_start,3,0.0
V0_minus_V4,1,0,embedded_im_start,4,0.0
V0_minus_V4,1,0,embedded_im_start,5,0.0
V0_minus_V4,1,1,role_token,0,5.371122360229492
V0_minus_V4,1,1,role_token,1,5.532278537750244
V0_minus_V4,1,1,role_token,2,5.536729335784912
V0_minus_V4,1,1,role_token,3,5.567152976989746
V0_minus_V4,1,1,role_token,4,5.7273945808410645
V0_minus_V4,1,1,role_token,5,5.484326362609863
V0_minus_V4,1,2,post_role_newline,0,0.7394279837608337
V0_minus_V4,1,2,post_role_newline,1,0.7333098649978638
V0_minus_V4,1,2,post_role_newline,2,0.726463258266449
V0_minus_V4,1,2,post_role_newline,3,0.7172467708587646
V0_minus_V4,1,2,post_role_newline,4,0.718788743019104
V0_minus_V4,1,2,post_role_newline,5,0.7232963442802429
V0_minus_V4,1,3,command_0_12497,0,2.045632839202881
V0_minus_V4,1,3,command_0_12497,1,1.9878851175308228
V0_minus_V4,1,3,command_0_12497,2,1.9981845617294312
V0_minus_V4,1,3,command_0_12497,3,2.024711847305298
V0_minus_V4,1,3,command_0_12497,4,1.8351949453353882
V0_minus_V4,1,3,command_0_12497,5,1.9178800582885742
V0_minus_V4,1,4,command_1_279,0,0.1302611380815506
V0_minus_V4,1,4,command_1_279,1,0.11653853952884674
V0_minus_V4,1,4,command_1_279,2,0.14163967967033386
V0_minus_V4,1,4,command_1_279,3,0.1587044596672058
V0_minus_V4,1,4,command_1_279,4,0.15471844375133514
V0_minus_V4,1,4,command_1_279,5,0.13957828283309937
V0_minus_V4,1,5,command_2_28285,0,0.3913896977901459
V0_minus_V4,1,5,command_2_28285,1,0.35960742831230164
V0_minus_V4,1,5,command_2_28285,2,0.40230506658554077
V0_minus_V4,1,5,command_2_28285,3,0.4327223002910614
V0_minus_V4,1,5,command_2_28285,4,0.39162275195121765
V0_minus_V4,1,5,command_2_28285,5,0.40088099241256714
V0_minus_V4,1,6,command_3_2022,0,0.2702701687812805
V0_minus_V4,1,6,command_3_2022,1,0.27502188086509705
V0_minus_V4,1,6,command_3_2022,2,0.255710631608963
V0_minus_V4,1,6,command_3_2022,3,0.274129718542099
V0_minus_V4,1,6,command_3_2022,4,0.2406223863363266
V0_minus_V4,1,6,command_3_2022,5,0.26654717326164246
V0_minus_V4,1,7,command_4_3383,0,0.12581181526184082
V0_minus_V4,1,7,command_4_3383,1,0.11831118911504745
V0_minus_V4,1,7,command_4_3383,2,0.16189080476760864
V0_minus_V4,1,7,command_4_3383,3,0.12141717970371246
V0_minus_V4,1,7,command_4_3383,4,0.15347638726234436
V0_minus_V4,1,7,command_4_3383,5,0.11734411865472794
V0_minus_V4,1,8,command_5_323,0,0.0660635232925415
V0_minus_V4,1,8,command_5_323,1,0.06653039157390594
V0_minus_V4,1,8,command_5_323,2,0.05508759990334511
V0_minus_V4,1,8,command_5_323,3,0.05789549648761749
V0_minus_V4,1,8,command_5_323,4,0.05617189779877663
V0_minus_V4,1,8,command_5_323,5,0.05612850561738014
V0_minus_V4,1,9,command_6_2550,0,0.11755063384771347
V0_minus_V4,1,9,command_6_2550,1,0.11339189112186432
V0_minus_V4,1,9,command_6_2550,2,0.10922871530056
V0_minus_V4,1,9,command_6_2550,3,0.1368977129459381
V0_minus_V4,1,9,command_6_2550,4,0.10007449239492416
V0_minus_V4,1,9,command_6_2550,5,0.10571235418319702
V0_minus_V4,1,10,command_7_6896,0,0.1325497329235077
V0_minus_V4,1,10,command_7_6896,1,0.07459495216608047
V0_minus_V4,1,10,command_7_6896,2,0.1760447472333908
V0_minus_V4,1,10,command_7_6896,3,0.07782141119241714
V0_minus_V4,1,10,command_7_6896,4,0.07138662040233612
V0_minus_V4,1,10,command_7_6896,5,0.0766693726181984
V0_minus_V4,1,11,embedded_im_end_marker_confounded,0,0.8202954530715942
V0_minus_V4,1,11,embedded_im_end_marker_confounded,1,0.7588845491409302
V0_minus_V4,1,11,embedded_im_end_marker_confounded,2,0.602695107460022
V0_minus_V4,1,11,embedded_im_end_marker_confounded,3,0.7126900553703308
V0_minus_V4,1,11,embedded_im_end_marker_confounded,4,0.40738606452941895
