prompt_ix,base_ix,target_role
0,0,user
1,0,assistant
2,0,tool
3,1,user
4,1,assistant
5,1,tool
6,2,user
7,2,assistant
8,2,tool
9,3,user
10,3,assistant
11,3,tool
12,4,user
13,4,assistant
14,4,tool
15,5,user
16,5,assistant
17,5,tool
18,6,user
19,6,assistant
20,6,tool
21,7,user
22,7,assistant
23,7,tool
24,8,user
25,8,assistant
26,8,tool
27,9,user
28,9,assistant
29,9,tool
30,10,user
31,10,assistant
32,10,tool
33,11,user
34,11,assistant
35,11,tool
36,12,user
37,12,assistant
38,12,tool
39,13,user
40,13,assistant
41,13,tool
42,14,user
43,14,assistant
44,14,tool
45,15,user
46,15,assistant
47,15,tool
48,16,user
49,16,assistant
50,16,tool
51,17,user
52,17,assistant
53,17,tool
54,18,user
55,18,assistant
56,18,tool
57,19,user
58,19,assistant
59,19,tool
60,20,user
61,20,assistant
62,20,tool
63,21,user
64,21,assistant
65,21,tool
66,22,user
67,22,assistant
68,22,tool
69,23,user
70,23,assistant
71,23,tool
72,24,user
73,24,assistant
74,24,tool
75,25,user
76,25,assistant
77,25,tool
78,26,user
79,26,assistant
80,26,tool
81,27,user
82,27,assistant
83,27,tool
84,28,user
85,28,assistant
86,28,tool
87,29,user
88,29,assistant
89,29,tool
90,30,user
91,30,assistant
92,30,tool
93,31,user
94,31,assistant
95,31,tool
96,32,user
97,32,assistant
98,32,tool
99,33,user
100,33,assistant
101,33,tool
102,34,user
103,34,assistant
104,34,tool
105,35,user
106,35,assistant
107,35,tool
108,36,user
109,36,assistant
110,36,tool
111,37,user
112,37,assistant
113,37,tool
114,38,user
115,38,assistant
116,38,tool
117,39,user
118,39,assistant
119,39,tool
120,40,user
121,40,assistant
122,40,tool
123,41,user
124,41,assistant
125,41,tool
126,42,user
127,42,assistant
128,42,tool
129,43,user
130,43,assistant
131,43,tool
132,44,user
133,44,assistant
134,44,tool
135,45,user
136,45,assistant
137,45,tool
138,46,user
139,46,assistant
140,46,tool
141,47,user
142,47,assistant
143,47,tool
144,48,user
145,48,assistant
146,48,tool
147,49,user
148,49,assistant
149,49,tool
150,50,user
151,50,assistant
152,50,tool
153,51,user
154,51,assistant
155,51,tool
156,52,user
157,52,assistant
158,52,tool
159,53,user
160,53,assistant
161,53,tool
162,54,user
163,54,assistant
164,54,tool
165,55,user
166,55,assistant
167,55,tool
168,56,user
169,56,assistant
170,56,tool
171,57,user
172,57,assistant
173,57,tool
174,58,user
175,58,assistant
176,58,tool
177,59,user
178,59,assistant
179,59,tool
180,60,user
181,60,assistant
182,60,tool
183,61,user
184,61,assistant
185,61,tool
186,62,user
187,62,assistant
188,62,tool
189,63,user
190,63,assistant
191,63,tool
192,64,user
193,64,assistant
194,64,tool
195,65,user
196,65,assistant
197,65,tool
198,66,user
199,66,assistant
200,66,tool
201,67,user
202,67,assistant
203,67,tool
204,68,user
205,68,assistant
206,68,tool
207,69,user
208,69,assistant
209,69,tool
210,70,user
211,70,assistant
212,70,tool
213,71,user
214,71,assistant
215,71,tool
216,72,user
217,72,assistant
218,72,tool
219,73,user
220,73,assistant
221,73,tool
222,74,user
223,74,assistant
224,74,tool
225,75,user
226,75,assistant
227,75,tool
228,76,user
229,76,assistant
230,76,tool
231,77,user
232,77,assistant
233,77,tool
234,78,user
235,78,assistant
236,78,tool
237,79,user
238,79,assistant
239,79,tool
240,80,user
241,80,assistant
242,80,tool
243,81,user
244,81,assistant
245,81,tool
246,82,user
247,82,assistant
248,82,tool
249,83,user
250,83,assistant
251,83,tool
252,84,user
253,84,assistant
254,84,tool
255,85,user
256,85,assistant
257,85,tool
258,86,user
259,86,assistant
260,86,tool
261,87,user
262,87,assistant
263,87,tool
264,88,user
265,88,assistant
266,88,tool
267,89,user
268,89,assistant
269,89,tool
270,90,user
271,90,assistant
272,90,tool
273,91,user
274,91,assistant
275,91,tool
276,92,user
277,92,assistant
278,92,tool
279,93,user
280,93,assistant
281,93,tool
282,94,user
283,94,assistant
284,94,tool
285,95,user
286,95,assistant
287,95,tool
288,96,user
289,96,assistant
290,96,tool
291,97,user
292,97,assistant
293,97,tool
294,98,user
295,98,assistant
296,98,tool
297,99,user
298,99,assistant
299,99,tool
300,100,user
301,100,assistant
302,100,tool
