direction,site,layer,compliant,closed,truncated
V0_to_V5,embedded_im_end,1,0,6,0
V0_to_V5,embedded_im_end,4,0,5,1
V0_to_V5,embedded_im_end,8,0,6,0
V0_to_V5,embedded_im_end,16,2,6,0
V0_to_V5,embedded_im_end,24,0,6,0
V0_to_V5,embedded_role,0,6,6,0
V0_to_V5,embedded_role,1,6,6,0
V0_to_V5,embedded_role,4,6,6,0
V0_to_V5,embedded_role,8,3,5,1
V0_to_V5,final_prompt_token,1,0,6,0
V0_to_V5,final_prompt_token,4,0,6,0
V0_to_V5,final_prompt_token,8,0,6,0
V0_to_V5,final_prompt_token,16,0,6,0
V0_to_V5,final_prompt_token,24,0,6,0
V5_to_V0,embedded_im_end,1,6,6,0
V5_to_V0,embedded_im_end,4,5,6,0
V5_to_V0,embedded_im_end,8,6,6,0
V5_to_V0,embedded_im_end,16,6,6,0
V5_to_V0,embedded_im_end,24,6,6,0
V5_to_V0,embedded_role,0,0,6,0
V5_to_V0,embedded_role,1,0,6,0
V5_to_V0,embedded_role,4,0,6,0
V5_to_V0,embedded_role,8,6,6,0
V5_to_V0,final_prompt_token,1,6,6,0
V5_to_V0,final_prompt_token,4,6,6,0
V5_to_V0,final_prompt_token,8,6,6,0
V5_to_V0,final_prompt_token,16,6,6,0
V5_to_V0,final_prompt_token,24,6,6,0
